testcase,testcase_id,source_format,target_format,status,error_message,eps_coord,hash_bits,repeats,warmup_runs,node_fidelity_basis,sets_include_instance,sets_include_names,sets_refnode_collision_policy,t_ref_s_to_z88_s,t_ref_z88_to_json_s,t_ref_total_s,t_s_to_t_s,t_t_to_z88_s,t_z88_to_json_s,t_t_to_json_total_s,t_total_s,n_nodes_ref_all,n_nodes_ref_connected,n_nodes_ref,n_elems_ref,n_nodes_rt_all,n_nodes_rt_connected,n_nodes_rt,n_elems_rt,node_precision,node_recall,node_f1,elem_precision,elem_recall,elem_f1,elem_precision_ordered,elem_recall_ordered,elem_f1_ordered,elem_f1_type_agnostic,bbox_diag_ref,bbox_diag_rt,eps_over_bbox_diag_ref,eps_over_bbox_diag_rt,tet_jacobian_checked_ref,tet_jacobian_neg_ref,tet_jacobian_neg_frac_ref,tet_jacobian_checked_rt,tet_jacobian_neg_rt,tet_jacobian_neg_frac_rt,refpoints_ref_count,refpoints_ref_unique,refpoints_rt_count,refpoints_rt_unique,refpoints_precision,refpoints_recall,refpoints_f1,refpoints_as_nodes_coverage,refpoints_as_nodes_intersection,refpoints_as_nodes_rp_unique,refpoints_as_nodes_nodes_unique,refpoints_as_nodes_present_all,refpoints_as_nodes_precision,refpoints_as_nodes_recall,refpoints_as_nodes_f1,refpoints_as_nodes_jaccard,nodesets_ref,nodesets_rt,nodesets_preserved_exact,nodesets_ref_total,nodesets_mem_precision,nodesets_mem_recall,nodesets_mem_f1,nodesets_invalid_ids_ref,nodesets_invalid_ids_rt,nodesets_union_size_ref,nodesets_union_size_rt,nodesets_union_intersection,nodesets_union_precision,nodesets_union_recall,nodesets_union_f1,nodesets_union_jaccard,nodesets_dedup_removed_ref,nodesets_dedup_removed_rt,elemsets_ref,elemsets_rt,elemsets_preserved_exact,elemsets_ref_total,elemsets_mem_precision,elemsets_mem_recall,elemsets_mem_f1,elemsets_invalid_ids_ref,elemsets_invalid_ids_rt,elemsets_union_size_ref,elemsets_union_size_rt,elemsets_union_intersection,elemsets_union_precision,elemsets_union_recall,elemsets_union_f1,elemsets_union_jaccard,elemsets_dedup_removed_ref,elemsets_dedup_removed_rt,nodesets_name_precision,nodesets_name_recall,nodesets_name_f1,elemsets_name_precision,elemsets_name_recall,elemsets_name_f1,parts_ref,instances_ref,parts_rt,instances_rt,refpoints_ref,refpoints_rt,removed_rp_tokens,coord_token_collisions_ref,coord_token_collisions_rt,refnode_id_collisions_ref,refnode_id_collisions_rt,refnode_collision_ids_ref,refnode_collision_ids_rt,elem_total_node_refs_ref,elem_invalid_node_refs_ref,elem_zero_node_tokens_ref,elem_total_node_refs_rt,elem_invalid_node_refs_rt,elem_zero_node_tokens_rt,ms_node_f1_0p5,ms_elem_f1_0p5,ms_eps_0p5,ms_node_f1_1p0,ms_elem_f1_1p0,ms_eps_1p0,ms_node_f1_2p0,ms_elem_f1_2p0,ms_eps_2p0
#5/Craigbampton.inp,#5,abaqus,abaqus,ok,,0.005,128,5,1,connected,True,True,collision,0.05969650001497939,0.05159454999375157,0.11129105000873096,0.05451374998665415,0.06399160000728443,0.04746095000882633,0.11145255001611076,0.2772573500114959,8098,8098,8098,1344,8098,8098,8098,1344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,151.50907563575194,151.50907563575194,3.3001323379601815e-05,3.3001323379601815e-05,0,0,NaN,0,0,NaN,0,0,0,0,1.0,1.0,1.0,1.0,0,0,7989,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,26880,0,0,26880,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#5/Craigbampton.inp,#5,abaqus,ansys,ok,,0.005,128,5,1,connected,False,True,collision,0.05969650001497939,0.05159454999375157,0.11129105000873096,0.06842244998551905,0.12925715002347715,0.044798299990361556,0.1740554500138387,0.3537689500080887,8098,8098,8098,1344,8098,8098,8098,1344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,151.50907563575194,151.50907563575194,3.3001323379601815e-05,3.3001323379601815e-05,0,0,NaN,0,0,NaN,0,0,0,0,1.0,1.0,1.0,1.0,0,0,7989,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,26880,0,0,26880,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#5/Craigbampton.inp,#5,abaqus,nastran,ok,,0.005,128,5,1,connected,False,False,collision,0.05969650001497939,0.05159454999375157,0.11129105000873096,0.060280000005150214,0.07451825001044199,0.05293959999107756,0.12745785000151955,0.2990289000154007,8098,8098,8098,1344,8098,8098,8098,1344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,151.50907563575194,151.50907563575194,3.3001323379601815e-05,3.3001323379601815e-05,0,0,NaN,0,0,NaN,0,0,0,0,1.0,1.0,1.0,1.0,0,0,7989,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,0,0,0,0,0,0,0,0,0,26880,0,0,26880,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#5/Craigbampton.inp,#5,abaqus,z88,ok,,0.005,128,5,1,connected,True,True,collision,0.05969650001497939,0.05159454999375157,0.11129105000873096,0.05924814997706562,0.063948299997719,0.0451589499716647,0.1091072499693837,0.2796464499551803,8098,8098,8098,1344,8098,8098,8098,1344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,151.50907563575194,151.50907563575194,3.3001323379601815e-05,3.3001323379601815e-05,0,0,NaN,0,0,NaN,0,0,0,0,1.0,1.0,1.0,1.0,0,0,7989,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,26880,0,0,26880,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#6/e4.inp,#6,abaqus,abaqus,ok,,0.005,128,5,1,connected,True,True,collision,3.0684214000066277,2.198645700002089,5.267067100008717,2.35017190000508,3.144548250042135,2.093339199986076,5.237887450028211,12.855126450042007,255694,255694,255694,237100,255694,255694,255694,237100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07563906250916787,0.07563906250916787,0.06610341051482457,0.06610341051482457,0,0,NaN,0,0,NaN,0,0,0,0,1.0,1.0,1.0,1.0,0,0,277,1.0,0.0,1.0,0.0,0.0,2,2,2,2,1.0,1.0,1.0,0,0,121,121,121,1.0,1.0,1.0,1.0,0,0,4,4,4,4,1.0,1.0,1.0,0,0,2480,2480,2480,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,0,0,0,0,0,0,0,0,0,1896800,0,0,1896800,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#6/e4.inp,#6,abaqus,ansys,ok,,0.005,128,5,1,connected,False,True,collision,3.0684214000066277,2.198645700002089,5.267067100008717,3.343193849985255,4.866525949997595,2.0892151000152808,6.955741050012875,15.566002000006847,255694,255694,255694,237100,255694,255694,255694,237100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07563906250916787,0.07563906250916798,0.06610341051482457,0.06610341051482448,0,0,NaN,0,0,NaN,0,0,0,0,1.0,1.0,1.0,1.0,0,0,277,1.0,0.0,1.0,0.0,0.0,2,2,2,2,1.0,1.0,1.0,0,0,121,121,121,1.0,1.0,1.0,1.0,0,0,4,4,4,4,1.0,1.0,1.0,0,0,2480,2480,2480,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,0.5,0.5,0.5,2,2,1,1,0,0,0,0,0,0,0,0,0,1896800,0,0,1896800,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#6/e4.inp,#6,abaqus,nastran,ok,,0.005,128,5,1,connected,False,False,collision,3.0684214000066277,2.198645700002089,5.267067100008717,2.8838118000130635,3.637311599974055,2.0621678500028793,5.699479449976934,13.850358349998714,255694,255694,255694,237100,255694,255694,255694,237100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07563906250916787,0.07563906250916372,0.06610341051482457,0.0661034105148282,0,0,NaN,0,0,NaN,0,0,0,0,1.0,1.0,1.0,1.0,0,0,277,1.0,0.0,1.0,0.0,0.0,2,2,2,2,1.0,1.0,1.0,0,0,121,121,121,1.0,1.0,1.0,1.0,0,0,4,4,4,4,1.0,1.0,1.0,0,0,2480,2480,2480,1.0,1.0,1.0,1.0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,2,2,1,1,0,0,0,0,0,0,0,0,0,1896800,0,0,1896800,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#6/e4.inp,#6,abaqus,z88,ok,,0.005,128,5,1,connected,True,True,collision,3.0684214000066277,2.198645700002089,5.267067100008717,3.0197812499827705,3.058733950019814,2.108525749994442,5.167259700014256,13.454108050005743,255694,255694,255694,237100,255694,255694,255694,237100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07563906250916787,0.07563906250916787,0.06610341051482457,0.06610341051482457,0,0,NaN,0,0,NaN,0,0,0,0,1.0,1.0,1.0,1.0,0,0,277,1.0,0.0,1.0,0.0,0.0,2,2,2,2,1.0,1.0,1.0,0,0,121,121,121,1.0,1.0,1.0,1.0,0,0,4,4,4,4,1.0,1.0,1.0,0,0,2480,2480,2480,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,0,0,0,0,0,0,0,0,0,1896800,0,0,1896800,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#7/e6.inp,#7,abaqus,abaqus,ok,,0.005,128,5,1,connected,True,True,collision,3.3628586499835365,2.5965144500078168,5.959373099991353,2.547287099994719,3.4863691499922425,2.506792400003178,5.9931615499954205,14.499821749981493,365318,365318,365318,244124,365318,365318,365318,244124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9624472498996435,1.9624472498996435,0.002547839184087976,0.002547839184087976,0,0,NaN,0,0,NaN,0,0,0,0,1.0,1.0,1.0,1.0,0,0,353000,1.0,0.0,1.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,0,0,2994,2994,2994,1.0,1.0,1.0,1.0,0,0,14,14,14,14,1.0,1.0,1.0,0,0,244123,244123,244123,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,14,14,14,14,0,0,0,0,0,0,0,0,0,1952992,0,0,1952992,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
#7/e6.inp,#7,abaqus,ansys,ok,,0.005,128,5,1,connected,False,True,collision,3.3628586499835365,2.5965144500078168,5.959373099991353,3.660974950005766,6.173887049983023,2.531470799993258,8.70535784997628,18.3257058999734,365318,365318,365318,244124,365318,365318,365318,244124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9624472498996435,1.9624472498996435,0.002547839184087976,0.002547839184087976,0,0,NaN,0,0,NaN,0,0,0,0,1.0,1.0,1.0,1.0,0,0,353000,1.0,0.0,1.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,0,0,2994,2994,2994,1.0,1.0,1.0,1.0,0,0,14,14,14,14,1.0,1.0,1.0,0,0,244123,244123,244123,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,14,14,1,1,0,0,0,0,0,0,0,0,0,1952992,0,0,1952992,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
