model_id,testcase,source_format,target_format,status,hash_bits,eps_coord,bbox_diag_ref,bbox_diag_rt,eps_over_bbox_diag_ref,eps_over_bbox_diag_rt,n_nodes_ref,n_elems_ref,nodesets_ref,elemsets_ref,refpoints_ref_unique,node_f1,elem_f1,elem_f1_ordered,elem_f1_type_agnostic,nodesets_mem_f1,elemsets_mem_f1,nodesets_exact_ratio,elemsets_exact_ratio,nodesets_union_f1,elemsets_union_f1,nodesets_name_f1,elemsets_name_f1,refpoints_f1,refpoints_as_nodes_coverage,tet_jacobian_checked_rt,tet_jacobian_neg_frac_rt,parts_ref,instances_ref,parts_rt,instances_rt,t_ref_total_s,t_s_to_t_s,t_t_to_json_total_s,t_total_s,sets_include_instance,sets_include_names,sets_refnode_collision_policy,coord_token_collisions_ref,coord_token_collisions_rt,refnode_id_collisions_ref,refnode_id_collisions_rt,refnode_collision_ids_ref,refnode_collision_ids_rt,elem_total_node_refs_ref,elem_invalid_node_refs_ref,elem_zero_node_tokens_ref,elem_total_node_refs_rt,elem_invalid_node_refs_rt,elem_zero_node_tokens_rt,ms_node_f1_0p5,ms_elem_f1_0p5,ms_eps_0p5,ms_node_f1_1p0,ms_elem_f1_1p0,ms_eps_1p0,ms_node_f1_2p0,ms_elem_f1_2p0,ms_eps_2p0
19,#19/WB-Housing.bdf,nastran,abaqus,ok,128,0.005,1200.168838335767,1200.168838335767,4.166080504917399e-06,4.166080504917399e-06,127031,72445,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,72445,0.0,1,1,1,1,2.3532754999760073,1.213244049984496,2.217482750013005,5.784002299973508,False,False,collision,0,0,0,0,0,0,724450,0,0,724450,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
19,#19/WB-Housing.bdf,nastran,ansys,ok,128,0.005,1200.168838335767,1200.168838335767,4.166080504917399e-06,4.166080504917399e-06,127031,72445,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,72445,0.0,1,1,1,1,2.3532754999760073,1.5674061499885283,3.1939620500197634,7.114643699984299,False,False,collision,0,0,0,0,0,0,724450,0,0,724450,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
19,#19/WB-Housing.bdf,nastran,nastran,ok,128,0.005,1200.168838335767,1200.168838335767,4.166080504917399e-06,4.166080504917399e-06,127031,72445,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,72445,0.0,1,1,1,1,2.3532754999760073,1.433082050003577,2.452964049996808,6.2393215999763925,False,False,collision,0,0,0,0,0,0,724450,0,0,724450,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
19,#19/WB-Housing.bdf,nastran,z88,ok,128,0.005,1200.168838335767,1200.168838335767,4.166080504917399e-06,4.166080504917399e-06,127031,72445,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,72445,0.0,1,1,1,1,2.3532754999760073,1.5439782999746967,2.264048750017537,6.161302549968241,False,False,collision,0,0,0,0,0,0,724450,0,0,724450,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
20,#20/out.bdf,nastran,abaqus,ok,128,0.005,102.5718368615869,102.5718368615869,4.8746324068926734e-05,4.8746324068926734e-05,3211,12489,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,12489,0.0,1,1,1,1,0.14090645001851954,0.06606610000017099,0.1284582499647513,0.33543079998344183,False,False,collision,0,0,0,0,0,0,49956,0,0,49956,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
20,#20/out.bdf,nastran,ansys,ok,128,0.005,102.5718368615869,102.5718368615869,4.8746324068926734e-05,4.8746324068926734e-05,3211,12489,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,12489,0.0,1,1,1,1,0.14090645001851954,0.09307889998308383,0.15652595003484748,0.39051130003645085,False,False,collision,0,0,0,0,0,0,49956,0,0,49956,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
20,#20/out.bdf,nastran,nastran,ok,128,0.005,102.5718368615869,102.5718368615869,4.8746324068926734e-05,4.8746324068926734e-05,3211,12489,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,12489,0.0,1,1,1,1,0.14090645001851954,0.08506700000725687,0.1420122500276193,0.3679857000533957,False,False,collision,0,0,0,0,0,0,49956,0,0,49956,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
20,#20/out.bdf,nastran,z88,ok,128,0.005,102.5718368615869,102.5718368615869,4.8746324068926734e-05,4.8746324068926734e-05,3211,12489,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,12489,0.0,1,1,1,1,0.14090645001851954,0.08387799997581169,0.1290436000272166,0.3538280500215478,False,False,collision,0,0,0,0,0,0,49956,0,0,49956,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
21,#21/solid_bending.bdf,nastran,abaqus,ok,128,0.005,3.7416573867739413,3.7416573867739413,0.001336306209562122,0.001336306209562122,72,186,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,186,0.0,1,1,1,1,0.01869255004567094,0.010888449993217364,0.019753950007725507,0.04933495004661381,False,False,collision,0,0,0,0,0,0,744,0,0,744,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
21,#21/solid_bending.bdf,nastran,ansys,ok,128,0.005,3.7416573867739413,3.7416573867739413,0.001336306209562122,0.001336306209562122,72,186,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,186,0.0,1,1,1,1,0.01869255004567094,0.010946149996016175,0.02229379999334924,0.051932500035036355,False,False,collision,0,0,0,0,0,0,744,0,0,744,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
21,#21/solid_bending.bdf,nastran,nastran,ok,128,0.005,3.7416573867739413,3.7416573867739413,0.001336306209562122,0.001336306209562122,72,186,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,186,0.0,1,1,1,1,0.01869255004567094,0.01123800000641495,0.0223075499816332,0.05223810003371909,False,False,collision,0,0,0,0,0,0,744,0,0,744,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
21,#21/solid_bending.bdf,nastran,z88,ok,128,0.005,3.7416573867739413,3.7416573867739413,0.001336306209562122,0.001336306209562122,72,186,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,186,0.0,1,1,1,1,0.01869255004567094,0.012306550022913143,0.021199100010562688,0.05219820007914677,False,False,collision,0,0,0,0,0,0,744,0,0,744,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
22,#22/nsc01a_n.dat,nastran,abaqus,ok,128,0.005,10.099504938362077,10.099504938362077,0.0004950737714883371,0.0004950737714883371,600,80,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,0,NaN,1,1,1,1,0.024810000002617016,0.01707624999107793,0.03448910001316108,0.07637535000685602,False,False,collision,0,0,0,0,0,0,1120,0,0,1120,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
22,#22/nsc01a_n.dat,nastran,ansys,ok,128,0.005,10.099504938362077,10.099504938362077,0.0004950737714883371,0.0004950737714883371,600,80,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,0,NaN,1,1,1,1,0.024810000002617016,0.017624000000068918,0.03754895000020042,0.07998295000288635,False,False,collision,0,0,0,0,0,0,1120,0,0,1120,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
22,#22/nsc01a_n.dat,nastran,nastran,ok,128,0.005,10.099504938362077,10.099504938362077,0.0004950737714883371,0.0004950737714883371,600,80,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,0,NaN,1,1,1,1,0.024810000002617016,0.016966500028502196,0.03426725001190789,0.0760437500430271,False,False,collision,0,0,0,0,0,0,1120,0,0,1120,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
22,#22/nsc01a_n.dat,nastran,z88,ok,128,0.005,10.099504938362077,10.099504938362077,0.0004950737714883371,0.0004950737714883371,600,80,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,0,NaN,1,1,1,1,0.024810000002617016,0.01417084998684004,0.02457100001629442,0.06355185000575148,False,False,collision,0,0,0,0,0,0,1120,0,0,1120,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
23,#23/cbush_test.bdf,nastran,abaqus,ok,128,0.005,0.5853958775731941,0.5853958775731941,0.008541228579756838,0.008541228579756838,250,128,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,0,NaN,1,1,1,1,0.021858900028746575,0.011226400005398318,0.020357999979751185,0.05344330001389608,False,False,collision,0,0,0,0,0,0,1024,0,0,1024,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
23,#23/cbush_test.bdf,nastran,ansys,ok,128,0.005,0.5853958775731941,0.5853958775731941,0.008541228579756838,0.008541228579756838,250,128,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,0,NaN,1,1,1,1,0.021858900028746575,0.011995350010693073,0.024138250038959086,0.057992500078398734,False,False,collision,0,0,0,0,0,0,1024,0,0,1024,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
23,#23/cbush_test.bdf,nastran,nastran,ok,128,0.005,0.5853958775731941,0.5853958775731941,0.008541228579756838,0.008541228579756838,250,128,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,0,NaN,1,1,1,1,0.021858900028746575,0.012749400018947199,0.020404249982675537,0.05501255003036931,False,False,collision,0,0,0,0,0,0,1024,0,0,1024,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
23,#23/cbush_test.bdf,nastran,z88,ok,128,0.005,0.5853958775731941,0.5853958775731941,0.008541228579756838,0.008541228579756838,250,128,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,NaN,NaN,1.0,1.0,0,NaN,1,1,1,1,0.021858900028746575,0.010762350022559986,0.019453899993095547,0.05207515004440211,False,False,collision,0,0,0,0,0,0,1024,0,0,1024,0,0,1.0,1.0,0.0025,1.0,1.0,0.005,1.0,1.0,0.01
