model_id,testcase,source_format,target_format,status,paper_assessment,paper_reason,hash_bits,eps_coord,bbox_diag_ref,eps_over_bbox_diag_ref,node_f1,elem_f1,elem_f1_ordered,elem_f1_type_agnostic,nodesets_mem_f1,elemsets_mem_f1,nodesets_name_f1,elemsets_name_f1,refpoints_ref_unique,refpoints_f1,refpoints_as_nodes_coverage,tet_jacobian_checked_rt,tet_jacobian_neg_frac_rt,parts_ref,instances_ref,parts_rt,instances_rt,t_total_s,sets_include_instance,sets_include_names,sets_refnode_collision_policy,coord_token_collisions_ref,coord_token_collisions_rt,refnode_id_collisions_ref,refnode_id_collisions_rt,refnode_collision_ids_ref,refnode_collision_ids_rt,elem_total_node_refs_rt,elem_invalid_node_refs_rt,elem_zero_node_tokens_rt
1,#1/SUB40270rs28kN.inp,abaqus,ansys,ok,WARN,WARN: set_names!=1,128,0.005,937.537733369764,5.333118681024867e-06,1.0,1.0,1.0,1.0,1.0,1.0,0.6181818181818182,0.6255707762557078,3,1.0,0.0,0,NaN,15,15,1,1,60.52252614998724,False,True,collision,0,0,0,0,0,0,6904248,0,0
2,#2/Makro_RLK_402_70_T2_21kN.inp,abaqus,ansys,ok,WARN,WARN: set_names!=1,128,0.005,1715.0766794558383,2.9153215479475857e-06,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.8888888888888888,3,1.0,0.3333333333333333,0,NaN,4,4,1,1,20.163753500033636,False,True,collision,0,0,0,0,0,0,2429216,0,0
3,#3/Modell-3.inp,abaqus,ansys,ok,WARN,WARN: set_names!=1,128,0.005,99.498743710662,5.02518907629606e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9444444444444444,0,1.0,1.0,0,NaN,2,2,1,1,1.0695644499792252,False,True,collision,0,0,0,0,0,0,130048,0,0
6,#6/e4.inp,abaqus,ansys,ok,WARN,WARN: set_names!=1,128,0.005,0.07563906250916787,0.06610341051482457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,1.0,1.0,0,NaN,2,2,1,1,15.566002000006847,False,True,collision,0,0,0,0,0,0,1896800,0,0
7,#7/e6.inp,abaqus,ansys,ok,WARN,WARN: set_names!=1,128,0.005,1.9624472498996435,0.002547839184087976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,0,1.0,1.0,0,NaN,14,14,1,1,18.3257058999734,False,True,collision,0,0,0,0,0,0,1952992,0,0
